DE229	alaschanica-DE229
DE575	anas-yellow-DE575
DE765	anas-yellow-DE765
DE681	anas-purple-DE681
DE643	armata-DE643
DE671	armata-DE671
JJ125	axillaris-JJ125
DE566	batangensis-DE566
JJ85	bella-JJ85
DE672	bidentata-DE672
DE127	brevilabris-DE127
DE115	cephalantha-DE115
DE737	chinensis-DE737
JJ86	chumbica-JJ86
DE542	cinerascens-DE542
DE151	cranolopha-forked-DE151
DE173	cranolopha-unforked-DE173
DE189	cranolopha-forked-DE189
JJ109	cranolopha-purple-JJ109
DE561	cyathophylla-DE561
SRR3424066	cyathophylla-SRR3424066
SRR3407086	cyathophylloides-SRR3407086
DE181	cyathophylloides-DE181
DE509	davidii-DE509
DE164	decorissima-DE164
DE476	delavayi-DE476
DE554	densispica-DE554
JJ23	dichotoma-JJ23
DE523	fetisowii-DE523
JJ89	fletcheri-JJ89
DE216	ingens-DE216
JJ15	ingens-JJ15
DE152	integrifolia-DE152
DE507	kansuensis-pink-DE507
DE528	kansuensis-white-DE528
DE704-white	kansuensis-white-DE704
DE704-purple	kansuensis-purple-DE704
DE162	kansuensis-yellow-DE162
DRR082660	keiskei-DRR082660
DE536	lachnoglossa-DE536
DE88	latituba-DE88
JJ131	longicaulis-JJ131
DE531	longiflora-red-DE531
DE696-nodots	longiflora-nored-DE696
DE696-dots	longiflora-red-DE696
JJ36	longiflora-red-JJ36
DE126	lutescens-DE126
DE519	macrosiphon-DE519
DE741	macrosiphon-DE741
DE668	metaszetschuanica-DE668
JJ74	mollis-JJ74
DE550	mussotii-DE550
DE504	oxycarpa-DE504
DE666	pectinatiformis-DE666
SRR3407095	przewalskii-SRR3407095
DE69	przewalskii-DE69
DE563	pseudomelampyriflora-DE563
DE503	rex-subsp-rex-yellow-DE503
DE505	rex-subsp-rex-white-DE505
DE510	rex-subsp-lipskyana-red-DE510
SRR3407087	rex-subsp-lipskyana-red-SRR3407087
SRR3407094	rex-subsp-pseudothamnophila-SRR3407094
SRR3407092	rex-subsp-rex-yellow-SRR3407092
SRR3407093	rex-subsp-thamnophila-SRR3407093
DE560	rhinanthoides-DE560
DE534	rhodotricha-DE534
JJ99	rhynchotricha-JJ99
DE623	semitorta-magenta-DE623
DE680	semitorta-yellow-DE680
DE541	tenuituba-DE541
DE549	souliei-DE549
SRR3407096	streptorhyncha-SRR3407096
SRR3407088	superba-SRR3407088
DE736	torta-yellow-purple-DE736
DE764	torta-aff-purple-DE764
JJ130	tricolor-JJ130
DE546	urceolata-DE546
SRR5150740	Aureolaria-pectinata-SRR5150740
SRR11934227	Lindenbergia-muraria-SRR11934227
DRR082665	Melampyrum-roseum-DRR082665
DRR234970	Phtheirospermum-japonicum-DRR234970
SRR11748982	Rehmannia-glutinosa-SRR11748982
SRR104381	Triphysaria-versicolor-SRR104381
