name	beak	beak2	tube	tube2	fork	pink	yellow	red	red2	purple2	yellow2	white	red3	beakless
DE229.gene.*	1	1	0	0	0	0	1	0	0	0	0	0	0	0
DE575.gene.*	1	1	0	0	0	0	1	0	0	0	1	0	0	0
DE765.gene.*	1	1	0	0	0	0	1	0	0	0	1	0	0	0
DE681.gene.*	1	1	0	0	0	1	0	0	0	1	0	0	0	0
DE643.gene.*	1	1	1	1	0	0	1	1	1	0	0	0	1	0
DE671.gene.*	1	1	1	1	0	0	1	1	1	0	0	0	1	0
JJ125.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE566.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
JJ85.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE672.gene.*	1	1	1	1	0	0	1	0	0	0	0	0	0	0
DE127.gene.*	0	0	0	0	0	0	0	0	0	0	0	1	0	1
DE115.gene.*	1	1	1	0	0	1	0	0	0	0	0	0	0	0
DE737.gene.*	1	1	1	1	0	0	1	0	0	0	0	0	0	0
JJ86.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE542.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE151.gene.*	1	1	1	1	1	0	1	0	0	0	0	0	1	0
DE173.gene.*	1	1	1	1	0	0	1	0	0	0	0	0	1	0
DE189.gene.*	1	1	1	1	1	0	1	0	0	0	0	0	1	0
JJ109.gene.*	1	1	1	1	0	1	1	0	0	0	0	0	0	0
DE561.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
SRR3424066.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
SRR3407086.gene.*	0	0	1	0	0	1	0	0	0	0	0	0	0	1
DE181.gene.*	0	0	1	0	0	1	0	0	0	0	0	0	0	1
DE509.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE164.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
DE476.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
DE554.gene.*	0	0	0	0	0	1	1	0	0	0	0	0	0	1
JJ23.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE523.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
JJ89.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE216.gene.*	0	1	0	0	0	0	1	0	0	0	0	0	0	0
JJ15.gene.*	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DE152.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE507.gene.*	0	0	0	0	0	1	0	0	0	1	0	0	0	1
DE528.gene.*	0	0	0	0	0	0	0	0	0	0	0	1	0	1
DE704-white.gene.*	0	0	0	0	0	0	0	0	0	0	0	1	0	1
DE704-purple.gene.*	0	0	0	0	0	1	0	0	0	1	0	0	0	1
DE162.gene.*	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DRR082660.gene.*	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DE536.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE88.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
JJ131.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE531.gene.*	1	1	1	1	0	0	1	1	1	0	0	0	1	0
DE696-nodots.gene.*	1	1	1	1	0	0	1	0	1	0	0	0	1	0
DE696-dots.gene.*	1	1	1	1	0	0	1	1	1	0	0	0	1	0
JJ36.gene.*	1	1	1	1	0	0	1	1	1	0	0	0	1	0
DE126.gene.*	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DE519.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
DE741.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
DE668.gene.*	0	0	0	0	0	1	0	0	0	0	0	0	0	1
JJ74.gene.*	0	0	0	0	0	1	0	0	0	0	0	0	0	1
DE550.gene.*	1	1	0	0	1	1	0	0	0	0	0	0	0	0
DE504.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
DE666.gene.*	1	1	0	0	0	1	0	0	0	0	0	0	0	0
SRR3407095.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
DE69.gene.*	1	1	1	1	0	1	0	0	0	0	0	0	0	0
DE563.gene.*	0	0	0	0	0	1	0	0	0	0	0	0	0	1
DE503.gene.*	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DE505.gene.*	0	0	0	0	0	0	0	0	0	0	0	1	0	1
DE510.gene.*	0	0	0	0	0	1	0	0	0	0	0	0	0	1
